time,abs
671.137042,0.606
671.2370457,0.605
671.3388161,0.605
671.4399134,0.605
671.5369087,0.602
671.637027,0.601
671.7369111,0.599
671.8369121,0.599
671.939928,0.597
672.0370108,0.597
672.1375358,0.596
672.2369574,0.594
672.3429853,0.594
672.4367982,0.592
672.5368435,0.591
672.6367768,0.59
672.7368871,0.589
672.8369831,0.589
672.9367282,0.588
673.0368368,0.587
673.1367555,0.584
673.2387677,0.583
673.3368541,0.585
673.4368709,0.582
673.5393212,0.58
673.6391075,0.58
673.7368121,0.577
673.8368833,0.578
673.9367841,0.577
674.036825,0.576
674.1366755,0.576
674.2367714,0.572
674.3373831,0.572
674.436662,0.569
674.5366389,0.569
674.6371016,0.569
674.7379489,0.568
674.8368562,0.567
674.9366018,0.566
675.0366816,0.566
675.1372359,0.565
675.2365057,0.562
675.3413535,0.562
675.4366499,0.561
675.5366533,0.56
675.6369223,0.558
675.736493,0.56
675.8366545,0.556
675.9365618,0.556
676.036655,0.554
676.1380313,0.553
676.2364428,0.552
676.3365143,0.55
676.4369307,0.55
676.5364571,0.55
676.6365211,0.547
676.7429783,0.547
676.8433903,0.545
676.9364234,0.544
677.036588,0.543
677.1367814,0.544
677.2384386,0.54
677.3363752,0.539
677.4365158,0.539
677.5378041,0.538
677.6372898,0.537
677.7363312,0.535
677.8362785,0.534
677.9363002,0.533
678.0367643,0.532
678.1362525,0.532
678.2363973,0.529
678.3366762,0.528
678.4363317,0.528
678.5434281,0.528
678.636239,0.525
678.7361804,0.525
678.8362166,0.524
678.9362638,0.523
679.0362413,0.523
679.1362672,0.519
679.2361965,0.52
679.3363145,0.519
679.4362906,0.518
679.5361871,0.517
679.6362466,0.515
679.7363119,0.513
679.836488,0.513
679.9362634,0.512
680.0362246,0.511
680.1364827,0.509
680.2363608,0.507
680.3362342,0.507
680.4361393,0.506
680.5371176,0.504
680.636266,0.504
680.7361014,0.503
680.8360461,0.501
680.9364516,0.501
681.036076,0.5
681.1361566,0.497
681.2361534,0.498
681.3359869,0.496
681.4375052,0.494
681.5387171,0.494
681.6360877,0.493
681.7360819,0.491
681.8381624,0.489
681.9360262,0.488
682.0360006,0.488
682.1361016,0.487
682.2361062,0.486
682.3360031,0.483
682.4359965,0.483
682.5379283,0.483
682.6358968,0.482
682.736063,0.48
682.8388745,0.478
682.9363305,0.477
683.0359456,0.478
683.1359881,0.477
683.235971,0.475
683.3359522,0.473
683.4359615,0.472
683.53596,0.472
683.638134,0.47
683.7357959,0.47
683.8370969,0.468
683.9357978,0.466
684.0359318,0.466
684.1357626,0.464
684.2360064,0.464
684.3379695,0.463
684.4357886,0.462
684.5375258,0.46
684.635828,0.459
684.7388183,0.458
684.8362041,0.457
684.9374008,0.456
685.0380064,0.455
685.1357945,0.452
685.2361611,0.453
685.3356421,0.45
685.4356095,0.451
685.5355942,0.449
685.6357878,0.449
685.7355977,0.447
685.8380384,0.447
685.9357251,0.445
686.0357736,0.443
686.1356936,0.443
686.235666,0.44
686.3386375,0.44
686.4357174,0.439
686.5376033,0.437
686.6384666,0.436
686.7356688,0.436
686.8354411,0.434
686.9355309,0.433
687.0359838,0.433
687.1359484,0.43
687.2358638,0.43
687.3354132,0.428
687.4354929,0.428
687.5358187,0.427
687.6375023,0.427
687.7358084,0.425
687.83557,0.422
687.9355718,0.422
688.0358512,0.422
688.1355168,0.42
688.2365272,0.419
688.3357209,0.417
688.4357245,0.417
688.5354024,0.415
688.6353939,0.415
688.7353468,0.413
688.8401809,0.413
688.9355064,0.411
689.0353059,0.411
689.1380998,0.409
689.2365279,0.407
689.3353892,0.405
689.4354258,0.404
689.5353646,0.405
689.6353307,0.403
689.735219,0.402
689.8356943,0.4
689.9354388,0.4
690.0352122,0.398
690.1353738,0.399
690.2364927,0.396
690.3351637,0.395
690.4356342,0.393
690.5353086,0.394
690.638071,0.392
690.7353009,0.391
690.8352743,0.388
690.9355761,0.389
691.0352163,0.387
691.1352026,0.386
691.2352358,0.385
691.3351535,0.384
691.4358481,0.382
691.5351022,0.382
691.6351038,0.381
691.7350784,0.38
691.835119,0.378
691.9352689,0.377
692.0351591,0.376
692.1350337,0.374
692.2351082,0.374
692.3351379,0.373
692.4355442,0.372
692.5355247,0.372
692.6353645,0.368
692.7350717,0.369
692.8379577,0.366
692.9349521,0.365
693.123883,0.365
693.1343449,0.364
693.2348952,0.363
693.3349187,0.36
693.4348811,0.361
693.5348339,0.36
693.6350676,0.357
693.7348439,0.358
693.8350797,0.354
693.9349953,0.355
694.0352787,0.353
694.1349122,0.352
694.2377623,0.352
