time,abs
309.5731754,2.3
309.6708928,2.268
309.7706388,2.263
309.8706511,2.292
309.9713272,2.239
310.0735251,2.3
310.1705703,2.304
310.2706993,2.274
310.3716943,2.285
310.4705332,2.272
310.570315,2.285
310.6703152,2.248
310.770891,2.279
310.8702663,2.25
310.9724729,2.256
311.0703584,2.263
311.1781708,2.26
311.2709676,2.257
311.3762322,2.268
311.4714775,2.278
311.5720164,2.231
311.673383,2.284
311.7743587,2.293
311.8799119,2.258
311.9701862,2.288
312.0700769,2.27
312.1699684,2.281
312.2705948,2.279
312.3701755,2.281
312.469925,2.305
312.5702021,2.32
312.670431,2.337
312.770103,2.304
312.8701094,2.324
312.971892,2.251
313.0724209,2.263
313.1721824,2.275
313.2702385,2.312
313.3701099,2.323
313.4732948,2.295
313.5703152,2.292
313.6697822,2.275
313.7697012,2.268
313.8719896,2.316
313.9698227,2.269
314.0698251,2.283
314.1700694,2.294
314.2716723,2.29
314.3697124,2.29
314.4697871,2.292
314.5698364,2.226
314.6699068,2.274
314.7717549,2.275
314.8742623,2.273
314.971491,2.275
315.069895,2.255
315.1719821,2.288
315.2749062,2.257
315.3695741,2.308
315.4700736,2.288
315.5695794,2.265
315.6767685,2.295
315.7696964,2.282
315.8740893,2.269
315.9698615,2.284
316.0695257,2.287
316.1697089,2.301
316.2725477,2.268
316.3696784,2.259
316.4697008,2.282
316.5694951,2.282
316.6812675,2.285
316.7696548,2.268
316.8704527,2.25
316.9696327,2.278
317.0696237,2.282
317.1707567,2.261
317.2695943,2.29
317.3696959,2.277
317.4696023,2.308
317.5697571,2.296
317.6695809,2.274
317.7723974,2.279
317.8733291,2.3
317.9694906,2.285
318.0695225,2.286
318.169353,2.274
318.2744008,2.273
318.3692425,2.278
318.4698624,2.296
318.5694662,2.31
318.6693917,2.282
318.7693611,2.277
318.8693473,2.279
318.9694519,2.265
319.0804275,2.252
319.1694024,2.285
319.2719418,2.25
319.3696284,2.267
319.4712791,2.306
319.5694266,2.282
319.6693798,2.282
319.7692129,2.296
319.8693253,2.274
319.9693574,2.31
320.069188,2.286
320.1691907,2.259
320.2691638,2.265
320.3695097,2.295
320.4745148,2.268
320.5697108,2.25
320.675088,2.242
320.7697898,2.275
320.8692997,2.301
320.969691,2.268
321.0707078,2.267
321.1692299,2.277
321.2691471,2.29
321.3692168,2.287
321.4690843,2.282
321.5695941,2.266
321.6691397,2.258
321.7689472,2.286
321.8692171,2.277
321.9688861,2.272
322.0691031,2.278
322.1689877,2.257
322.2690741,2.282
322.3698493,2.257
322.4688874,2.261
322.5693795,2.279
322.6690351,2.275
322.7693793,2.329
322.8689743,2.286
322.9689631,2.261
323.0689597,2.299
323.1689317,2.263
323.2689483,2.268
323.3689275,2.269
323.4689393,2.281
323.5694582,2.265
323.6688949,2.303
323.7689053,2.322
323.8694923,2.291
323.9695288,2.307
324.0691674,2.277
324.1689528,2.299
324.2690402,2.304
324.369509,2.299
324.469086,2.26
324.5700424,2.268
324.6691445,2.262
324.7686571,2.263
324.8689045,2.294
324.96861,2.295
325.0687534,2.258
325.1696126,2.248
325.26871,2.286
325.3706081,2.294
325.4688972,2.283
325.5691944,2.273
325.6691025,2.292
325.7687627,2.245
325.8688018,2.278
325.9710685,2.264
326.0685701,2.289
326.1686334,2.274
326.2685334,2.267
326.3685503,2.278
326.4685447,2.262
326.5685879,2.284
326.6685781,2.263
326.7691635,2.279
326.8691548,2.239
326.9685802,2.268
327.0690551,2.245
327.1689971,2.31
327.2691569,2.29
327.3697945,2.307
327.4680794,2.259
327.5684768,2.264
327.668404,2.256
327.7684424,2.286
327.8684952,2.282
327.9683129,2.27
328.0685692,2.247
328.1766763,2.306
328.2685353,2.271
328.3689757,2.265
328.4697485,2.272
328.5689003,2.274
328.6686183,2.296
328.7691176,2.282
328.8684858,2.282
328.9684605,2.282
329.0688917,2.261
329.1685595,2.287
329.2683664,2.256
329.3683574,2.278
329.4683455,2.266
329.5683743,2.286
329.6683386,2.289
329.7683192,2.259
329.868382,2.239
329.9683515,2.287
330.0687275,2.291
330.168394,2.294
330.2684986,2.301
330.3685315,2.307
330.4700772,2.275
330.5682781,2.293
330.6688567,2.269
330.7682408,2.323
330.8680794,2.3
330.9681695,2.274
331.0683224,2.299
331.1682564,2.315
331.268143,2.268
331.3683546,2.311
331.4682522,2.29
331.5690347,2.259
331.6696342,2.302
331.7686288,2.308
331.8698137,2.309
331.9681474,2.285
332.0681412,2.269
332.1681346,2.291
332.26873,2.273
332.3680339,2.272
332.4680637,2.269
332.56806,2.264
332.6679931,2.262
332.7680821,2.26
332.8681165,2.3
332.9681565,2.264
333.0705523,2.291
333.1685553,2.292
333.2684007,2.306
333.3681915,2.299
333.4685916,2.273
333.5681951,2.317
333.6680651,2.301
333.7682251,2.284
333.8680497,2.3
333.9679103,2.292
334.0701331,2.258
334.1679037,2.26
334.2680028,2.278
334.370629,2.254
334.4680276,2.269
334.5678877,2.269
334.6683385,2.259
334.7684393,2.294
334.8683251,2.267
334.9683664,2.276
335.0681095,2.3
335.1678635,2.259
335.2679568,2.249
335.3676556,2.246
335.4681131,2.276
335.567823,2.263
335.6678803,2.29
335.7678336,2.286
335.8676477,2.233
335.9676398,2.243
336.0680354,2.277
336.1712147,2.267
336.267805,2.28
336.3677185,2.266
336.4679173,2.26
336.5744589,2.254
336.6691731,2.25
336.7677217,2.257
336.8680513,2.295
336.9676308,2.31
337.0678571,2.256
337.1675489,2.307
337.2675111,2.253
337.3681889,2.278
337.4678483,2.296
337.567778,2.282
337.6677927,2.273
337.7678013,2.306
337.8679399,2.302
337.9681913,2.297
338.0679727,2.319
338.1676439,2.326
338.2750126,2.296
338.367774,2.269
338.4674554,2.307
338.5676421,2.292
338.6674661,2.295
338.7673511,2.305
338.8675651,2.247
338.9679061,2.281
339.0720866,2.27
339.1675201,2.246
339.2674851,2.268
339.3673624,2.262
339.4675976,2.238
339.5679828,2.276
339.6681535,2.266
339.7674055,2.287
339.8672538,2.277
339.9676328,2.279
340.0672257,2.278
340.1671994,2.312
340.2672316,2.288
340.3674586,2.277
340.4675963,2.258
340.5675115,2.294
340.6671462,2.284
340.7675332,2.282
340.86739,2.271
340.9677806,2.293
341.0695528,2.274
341.1681655,2.297
341.2678649,2.301
341.3703365,2.279
341.4681952,2.284
341.5673311,2.27
341.667289,2.264
341.7671003,2.294
341.867191,2.264
341.9671039,2.26
342.0673237,2.268
342.1673853,2.261
342.2681624,2.272
342.367285,2.26
342.4671619,2.292
342.5671473,2.244
342.6671282,2.278
342.767529,2.279
342.8677787,2.277
342.9671567,2.276
343.066977,2.284
343.1669353,2.287
343.2669745,2.293
343.3669546,2.275
343.4670909,2.286
343.566967,2.286
343.6670279,2.303
343.7669082,2.279
343.8670247,2.291
343.9740239,2.289
344.0669158,2.261
344.1674796,2.253
344.2674121,2.286
344.3670179,2.254
344.4671045,2.305
344.5670481,2.276
344.671676,2.264
344.7669901,2.288
344.8670866,2.259
344.9671825,2.309
345.0669526,2.264
345.166962,2.297
345.2669737,2.269
345.3669377,2.26
345.4667533,2.274
345.5667529,2.253
345.6670243,2.277
345.7674834,2.289
345.8669878,2.318
345.9675951,2.29
346.0670861,2.312
346.1669253,2.304
346.2681438,2.281
346.3706468,2.294
346.4669529,2.289
346.566746,2.285
346.6669018,2.311
346.7667919,2.257
346.8671438,2.274
346.9668268,2.283
347.0852111,2.276
347.1668249,2.259
347.2671257,2.279
347.3672352,2.262
347.4670808,2.275
347.5670738,2.24
347.6671208,2.298
347.7666693,2.321
347.8667696,2.272
347.9664838,2.251
348.067202,2.251
348.1665195,2.288
348.2667384,2.256
348.3667404,2.265
348.4693525,2.275
348.5667041,2.301
348.6698679,2.307
348.7666711,2.287
348.8827781,2.291
348.9666487,2.267
349.0669989,2.328
349.1665612,2.263
349.2707583,2.272
349.3666831,2.314
349.4665861,2.316
349.5665529,2.276
349.6669891,2.258
349.7852179,2.296
349.8664542,2.28
349.9664439,2.31
350.0665085,2.277
350.1667248,2.272
350.2669679,2.28
350.3668328,2.266
350.4749173,2.257
350.5665078,2.288
350.6683388,2.259
350.7683253,2.285
350.8665287,2.25
350.9663349,2.233
351.0663425,2.261
351.1663277,2.274
351.2663072,2.26
351.3662661,2.28
351.4663647,2.267
351.5662385,2.268
351.6663288,2.312
351.7663185,2.301
351.8663261,2.273
351.966373,2.257
352.0663214,2.252
352.1663399,2.287
352.266299,2.261
352.3662854,2.292
352.4663437,2.287
352.5662267,2.272
352.6662094,2.256
352.7661782,2.263
352.8662061,2.277
352.9668019,2.251
353.0664564,2.254
353.1693889,2.276
353.2660276,2.288
353.36605,2.265
353.4664897,2.277
353.5660841,2.256
353.6662546,2.242
353.7662161,2.288
353.8666889,2.279
353.966098,2.293
354.066041,2.293
354.1661064,2.266
354.266512,2.279
354.3661724,2.292
354.4660727,2.257
354.5661031,2.311
354.665944,2.311
354.7667444,2.297
354.8660412,2.259
354.9912136,2.297
355.0664881,2.284
355.1666725,2.296
355.2659915,2.271
355.366167,2.281
355.4664048,2.258
355.5661411,2.284
355.6661071,2.275
355.7661461,2.273
355.865951,2.263
355.9678264,2.254
356.0658881,2.26
356.1658836,2.313
356.2659213,2.239
356.3659294,2.263
356.4659299,2.258
356.5660459,2.266
356.6659516,2.26
356.7658915,2.291
356.8677566,2.302
356.9660927,2.262
357.0659075,2.27
357.1658309,2.256
357.2658431,2.277
357.3655567,2.259
357.4657773,2.274
357.5657067,2.265
357.6656165,2.249
357.7680097,2.288
357.8658107,2.31
357.9658228,2.271
358.0662027,2.273
358.1680459,2.297
358.2660498,2.272
358.3657378,2.298
358.470774,2.303
358.5657449,2.266
358.6658571,2.301
358.7659962,2.277
358.86587,2.241
358.965733,2.303
359.0656916,2.291
359.1655248,2.286
359.2668024,2.273
359.365719,2.259
359.4656145,2.282
359.565575,2.282
359.6657073,2.278
359.7660147,2.32
359.8663643,2.295
359.965528,2.311
360.0655017,2.314
360.1658277,2.262
360.2654436,2.261
360.3655601,2.294
360.4655182,2.266
360.5655563,2.259
360.6655547,2.286
360.7656155,2.281
360.8655718,2.267
360.9656283,2.278
361.0654879,2.252
361.1655574,2.263
361.2654939,2.247
361.3654712,2.251
361.4654876,2.27
361.5655574,2.292
361.6654905,2.254
361.7658751,2.276
361.8653687,2.24
361.9653828,2.294
362.0653612,2.253
362.1653618,2.289
362.2653465,2.296
362.3652695,2.29
362.4656902,2.301
362.5653739,2.276
362.6654155,2.235
362.7653961,2.268
362.8651803,2.266
362.9657958,2.26
363.0659705,2.267
363.1653133,2.288
363.2656724,2.261
363.3652975,2.276
363.4651243,2.252
363.5652077,2.267
363.6653295,2.259
363.7653514,2.262
363.8650186,2.272
363.9652047,2.28
364.065162,2.303
364.1651225,2.289
364.265538,2.243
364.3657121,2.298
364.4650699,2.266
364.5651526,2.282
364.6655045,2.293
364.7650799,2.287
364.865087,2.278
364.9649759,2.242
365.0651686,2.279
365.1651748,2.289
365.2650958,2.262
365.3651123,2.286
365.465121,2.266
365.5651466,2.346
365.6650794,2.276
365.7650223,2.301
365.8652685,2.267
365.9650948,2.28
366.0686832,2.273
366.1670483,2.261
366.2705393,2.266
366.3649156,2.291
366.4654297,2.276
366.5647182,2.299
366.6648116,2.268
366.7647884,2.244
366.8648953,2.27
366.9647969,2.274
367.0648923,2.299
367.1649841,2.242
367.2649542,2.265
367.3650966,2.263
367.464925,2.288
367.5653137,2.251
367.6653118,2.265
367.7648213,2.25
367.8649428,2.272
367.9652979,2.284
368.0649768,2.301
368.1647476,2.272
368.2647381,2.259
368.3646874,2.262
368.4646708,2.216
368.5649415,2.265
368.6645884,2.246
368.7648036,2.31
368.8652395,2.298
368.9647621,2.289
369.064674,2.287
369.1647783,2.288
369.2647595,2.325
369.3651611,2.279
369.4647253,2.278
369.5653786,2.288
369.6650555,2.311
369.7647063,2.272
369.8653039,2.268
369.9646211,2.263
370.0650594,2.298
370.1644467,2.264
370.2646076,2.301
370.3651169,2.279
370.4646908,2.294
370.5686012,2.29
370.6647034,2.306
370.7647358,2.266
370.8647106,2.294
370.9649585,2.261
371.0660274,2.264
371.1651304,2.276
371.2645726,2.252
371.3644982,2.237
371.4645262,2.294
371.5648147,2.272
371.6651683,2.26
371.7644292,2.291
371.8643774,2.254
371.9644782,2.262
372.0645633,2.274
372.1644838,2.265
372.2644759,2.259
372.3645512,2.289
372.4644756,2.264
372.564316,2.262
372.6642424,2.266
372.7662956,2.25
372.864267,2.272
372.9642318,2.252
373.0643702,2.276
373.1641728,2.263
373.2643002,2.276
373.3641945,2.297
373.4641285,2.254
373.564451,2.269
373.664379,2.263
373.7692367,2.28
373.8643449,2.322
373.9642204,2.258
374.0646452,2.274
374.1655575,2.242
374.2648216,2.267
374.3644425,2.245
374.4646925,2.298
374.5648904,2.256
374.6647441,2.253
374.7641785,2.233
374.8649109,2.267
374.9642687,2.244
375.0642291,2.264
375.1647528,2.282
375.2649155,2.241
375.3647419,2.28
375.4647278,2.279
375.5643946,2.239
375.6645001,2.269
375.7641654,2.302
375.8645482,2.293
375.9653472,2.292
376.0647321,2.263
376.1644953,2.275
376.2670526,2.29
376.3753196,2.27
376.4644743,2.285
376.5649805,2.303
376.6643992,2.262
376.7648038,2.291
376.8643432,2.273
376.9648348,2.254
377.0643535,2.263
377.1643982,2.278
377.2644144,2.258
377.3642844,2.267
377.4639655,2.286
377.5645126,2.298
377.6648299,2.281
377.7645287,2.253
377.8644592,2.264
377.9649082,2.239
378.0645666,2.267
378.165029,2.287
378.2642685,2.273
378.3645618,2.286
378.4642381,2.288
378.5645772,2.261
378.6642115,2.306
378.7643984,2.297
378.8640716,2.266
378.9643263,2.304
379.0639251,2.257
379.1641405,2.32
379.2642811,2.284
379.3645131,2.283
379.4643181,2.295
379.5646806,2.271
379.6643536,2.262
379.7641164,2.302
379.8639131,2.256
379.9638971,2.289
380.0638695,2.267
380.164786,2.257
380.2645314,2.265
380.3637958,2.25
380.4714987,2.278
380.5651562,2.282
380.6650451,2.265
380.7639978,2.254
380.8639696,2.282
380.9638047,2.295
381.0641434,2.258
381.1639666,2.276
381.2669432,2.252
381.3639638,2.253
381.4645433,2.266
381.563752,2.28
381.663747,2.271
381.7647597,2.281
381.8638033,2.274
381.9696168,2.283
382.0636499,2.262
382.1634526,2.291
382.2640692,2.241
382.364556,2.312
382.4635698,2.282
382.5634336,2.286
382.6634156,2.267
382.7635281,2.276
382.8640078,2.291
382.9633465,2.273
383.0644171,2.286
383.1634831,2.245
383.2634534,2.265
383.3643027,2.27
383.4632562,2.273
383.5640641,2.261
383.6637945,2.264
383.7635317,2.272
383.8632689,2.272
383.9633307,2.263
384.0632618,2.255
384.1635101,2.282
384.2634769,2.272
384.3666398,2.269
384.4636632,2.312
384.5628302,2.294
384.6638614,2.272
384.7632234,2.245
384.8633058,2.257
384.9632625,2.295
385.0638492,2.294
385.1633978,2.258
385.263087,2.239
385.3633225,2.245
385.4635109,2.289
385.563129,2.302
385.6644908,2.257
385.7633785,2.285
385.8645776,2.291
385.9664218,2.272
386.0631776,2.268
386.1629303,2.272
386.2630877,2.252
386.3634386,2.274
386.4633649,2.286
386.5634016,2.298
386.6633867,2.294
386.7631564,2.252
386.8628878,2.276
386.9636763,2.258
387.0648067,2.267
387.1628544,2.278
387.2628504,2.255
387.3630489,2.259
387.463064,2.291
387.5632501,2.305
387.6630638,2.273
387.7633424,2.295
387.8639407,2.297
387.962941,2.311
388.0631661,2.267
388.1634678,2.277
388.3522319,2.279
388.3624477,2.298
388.4627733,2.3
388.5628952,2.256
388.6630579,2.301
388.7627801,2.289
388.8629075,2.269
388.9629917,2.287
389.0631223,2.264
389.1630391,2.262
389.2632313,2.267
389.3628788,2.286
389.4628945,2.287
389.5628348,2.274
389.6633743,2.253
389.7629142,2.257
389.8627822,2.246
389.9626278,2.26
390.0626638,2.28
390.1630288,2.258
390.2625661,2.294
390.3626912,2.278
390.4627752,2.274
390.5626603,2.265
390.6627852,2.264
390.7631315,2.262
390.8628815,2.272
390.9627684,2.252
391.0627988,2.262
391.1632007,2.285
391.262768,2.262
391.3625102,2.251
391.4632482,2.312
391.5626391,2.285
391.6626382,2.279
391.7626123,2.272
391.8628917,2.273
391.9624466,2.253
392.0630888,2.295
392.1624313,2.287
392.2669218,2.277
392.3656179,2.274
392.4650184,2.277
392.5626805,2.29
392.6629601,2.302
392.7624206,2.319
392.8628234,2.267
392.9625343,2.279
393.0629977,2.284
393.1624955,2.28
393.2626026,2.309
393.3623452,2.282
393.4624795,2.286
393.5626771,2.289
393.662966,2.28
393.7624916,2.251
393.8624715,2.268
393.9627537,2.293
394.0624109,2.286
394.1624386,2.307
394.2624529,2.302
394.3623058,2.28
394.462398,2.288
394.5623061,2.301
394.6628897,2.298
394.7622201,2.268
394.8622085,2.266
394.9622122,2.271
395.0624281,2.272
395.1623807,2.278
395.2628373,2.295
395.362282,2.293
395.4623761,2.282
395.5624042,2.288
395.6630296,2.273
395.7628131,2.237
395.8622686,2.28
395.9622234,2.243
396.0627437,2.277
396.162161,2.278
396.2621896,2.282
396.366088,2.264
396.4622544,2.294
396.5622183,2.295
396.6622842,2.271
396.7621221,2.27
396.8650989,2.296
396.9621533,2.274
397.0624936,2.285
397.1637651,2.275
397.2621061,2.288
397.3622543,2.267
397.462029,2.274
397.5622329,2.268
397.6620113,2.257
397.7621336,2.272
397.8620655,2.263
397.9620785,2.283
398.0620405,2.26
398.161992,2.268
398.2619946,2.281
398.3620399,2.282
398.4647393,2.261
398.5620554,2.289
398.6621252,2.301
398.764713,2.307
398.8620226,2.272
398.9625278,2.301
399.0619577,2.269
399.1619043,2.29
399.2619004,2.262
399.3634932,2.246
399.4619487,2.272
399.5617899,2.285
399.6619783,2.286
399.7642694,2.286
399.8621236,2.252
399.9619853,2.287
400.0618957,2.271
400.1613876,2.298
400.2621791,2.281
400.3622091,2.251
400.4622759,2.266
400.5627396,2.239
400.6619231,2.271
400.7618878,2.251
400.8618876,2.28
400.9618968,2.27
401.0652347,2.25
401.1621057,2.301
401.2617652,2.268
401.3622925,2.268
401.4618119,2.282
401.5643757,2.268
401.6619736,2.281
401.7751236,2.267
