time 600 560 0,abs 600 560 0,old_name,new_name
0.0,0.081,600 560 0,600 560 0
0.0986812,0.081,,
0.1988209,0.083,,
0.2988851,0.085,,
0.3987498,0.086,,
0.4986849,0.089,,
0.5986562,0.091,,
0.6987268,0.092,,
0.8015404,0.093,,
0.8990111,0.094,,
0.9986564,0.097,,
1.0986518,0.098,,
1.1987915,0.1,,
1.2985448,0.1,,
1.3987422,0.101,,
1.4985322,0.102,,
1.5984939,0.104,,
1.6986667,0.105,,
1.7986402,0.105,,
1.900501,0.107,,
1.9986176,0.108,,
2.0986662,0.11,,
2.1985895,0.111,,
2.2985851,0.11,,
2.3987703,0.111,,
2.4986684,0.113,,
2.5991073,0.114,,
2.6985445,0.115,,
2.7986452,0.115,,
2.8985925,0.117,,
2.9983559,0.118,,
3.1005345,0.118,,
3.1984983,0.119,,
3.2985591,0.121,,
3.398503,0.121,,
3.4984724,0.121,,
3.5985514,0.122,,
3.6989173,0.122,,
3.7984668,0.123,,
3.8987745,0.124,,
3.9985563,0.125,,
4.0984321,0.126,,
4.1983695,0.126,,
4.2985335,0.127,,
4.3985281,0.127,,
4.4983112,0.128,,
4.5983034,0.129,,
4.7025348,0.131,,
4.7985058,0.13,,
4.898713,0.13,,
4.9984793,0.131,,
5.1002285,0.133,,
5.198839,0.132,,
5.2982908,0.132,,
5.3985324,0.135,,
5.498301,0.133,,
5.5988888,0.135,,
5.6983146,0.136,,
5.7982375,0.135,,
5.8982491,0.136,,
5.9986676,0.137,,
6.0982815,0.138,,
6.1981659,0.137,,
6.2981277,0.138,,
6.3981563,0.139,,
6.4982714,0.14,,
6.5983356,0.139,,
6.7012708,0.14,,
6.7982504,0.14,,
6.9000496,0.14,,
6.9981634,0.142,,
7.0982278,0.142,,
7.1982581,0.141,,
7.2981824,0.143,,
7.3981529,0.142,,
7.4984545,0.143,,
7.5981609,0.144,,
7.6981503,0.145,,
7.7983799,0.144,,
7.8980079,0.144,,
7.9980199,0.144,,
8.0984193,0.146,,
8.1979853,0.146,,
8.2979954,0.146,,
8.3979596,0.147,,
8.4981132,0.146,,
8.5980914,0.148,,
8.6981332,0.147,,
8.7997316,0.148,,
8.8978824,0.148,,
8.9979078,0.148,,
9.0979548,0.149,,
9.1981416,0.149,,
9.2978923,0.15,,
9.4008059,0.149,,
9.4982772,0.15,,
9.6115588,0.151,,
9.6983149,0.15,,
9.7979867,0.151,,
9.897862,0.152,,
9.9978458,0.151,,
10.0978491,0.152,,
10.1998545,0.152,,
10.2979339,0.152,,
10.3979977,0.152,,
10.4976255,0.154,,
10.59765,0.153,,
10.6977215,0.153,,
10.7977889,0.154,,
10.8976718,0.153,,
10.9978281,0.153,,
11.0976683,0.154,,
11.2008591,0.155,,
11.2981213,0.155,,
11.3997096,0.155,,
11.4977775,0.156,,
